-9.64167, -2.65295
3.81597, -9.24329
-2.39466, 9.70905
-9.77759, -2.09732
6.15627, 7.88037
8.62971, -5.05253
7.4725, 6.64543
-9.4304, 3.3268
-7.30454, -6.82962
9.03563, -4.28456
9.93312, -1.15459
4.54249, 8.90875
1.10643, 9.9386
9.66799, 2.55537
8.46846, -5.31838
-7.36185, -6.7678
-7.10081, -7.0412
5.49712, 8.35354
-4.88111, -8.72782
3.29652, 9.44103
1.51858, -9.88402
8.2759, -5.61333
5.27133, 8.49783
4.24304, -9.0552
6.96671, -7.17391
-9.3103, 3.64943
-8.37208, -5.46884
9.47967, 3.18367
9.57241, 2.89292
-5.17345, 8.55777
1.43038, -9.89717
9.99628, -0.272809
